2,83086
6,90725
11,2889
15,4524
19,1937
22,3152
24,7987
26,6146
27,5474
27,7557
27,3805
26,5303
25,2785
23,4595
21,2582
18,8054
16,2193
13,597
11,0263
8,55369
6,21153
4,02915
2,01985
0,212489
-1,28981
-2,34509
-2,89704
-2,66623
-1,80094
-0,607235
0,430966
1,20825
1,96213
2,8964
3,65512
4,20533
4,73049
5,13232
5,28662
5,19344
5,02707
4,79724
4,45039
4,06638
3,68596
3,19456
2,71173
2,22665
1,77369
1,3606
1,00834
0,675689
0,453637
0,330872
0,270485
0,289744
0,251213
0,217558
0,175039
0,0701137
-0,124442
-0,379906
-0,729321
-1,12821
-1,50416
-1,88681
-2,23934
-2,62938
-3,06524
-3,50352
-3,88152
-4,13607
-4,31529
-4,46494
-4,56724
-4,62709
-4,6043
-4,5144
-4,4315
-4,37238
-4,35586
-4,37465
-4,48115
-4,54041
-4,36952
-3,86088
-2,98066
-1,92075
-0,907309
0,0459588
0,833816
1,53869
2,13951
2,62393
2,92645
3,07102
3,09273
3,00535
2,82345
2,56199
2,28474
2,10161
1,93178
1,77821
1,60457
1,41281
1,29467
1,2768
1,30963
1,37928
1,52458
1,77062
2,04569
2,2439
2,29287
2,28917
2,35698
2,50232
2,70153
2,83079
2,847
2,82338
2,76214
2,66225
2,57049
2,48494
2,34453
2,24209
2,29234
2,52969
2,86337
3,20475
3,50626
3,72595
3,81936
3,81301
3,72711
3,60695
3,49088
3,41252
3,35302
3,26167
3,14387
2,99643
2,82746
2,60994
2,32073
2,00236
1,70048
1,42391
1,15959
0,910684
0,670626
0,427498
0,208168
0,0444017
-0,0971801
-0,201467
-0,22978
-0,161582
0,00299973
0,29704
0,727451
1,29908
2,01651
2,83238
3,53312
4,08371
4,54701
4,96031
5,27096
5,53708
5,77849
5,95601
6,01347
5,97641
5,88136
5,82669
5,96922
6,48148
7,44092
8,90228
10,9462
13,1428
15,0145
16,3531
17,3765
18,4424
19,9178
22,0255
24,539
26,887
29,3713
32,2746
35,5706
39,3504
43,5128
47,6849
51,117
52,597
51,6671
48,3139
43,215
37,9204
33,4768
29,9827
26,6986
23,8045
21,3859
19,4159
17,8699
17,0853
17,7075
19,411
20,8555
22,6288
24,4671
25,7975
26,6906
27,4707
27,8975
28,0111
27,8142
27,2975
26,6238
25,6698
24,9609
25,5014
27,4777
29,8895
32,9492
37,0603
41,6433
47,0116
53,909
62,2405
69,0535
72,2695
74,5232
77,6113
79,2622
78,2945
75,6021
71,842
67,779
62,1481
54,4993
45,0132
34,514
24,8089
16,8922
10,9348
6,75691
4,10081
3,52487
5,40658
8,93164
14,0831
19,7695
24,7819
28,8031
32,6673
36,6645
40,5613
43,3965
44,8676
46,3587
48,7353
51,4786
52,4435
50,9694
49,2107
47,7402
45,9923
43,9568
42,4192
42,1076
42,7536
43,6611
45,9027
48,7474
52,1141
56,1891
61,4926
68,8508
78,3666
84,9873
90,9267
97,2583
103,55
108,517
112,034
114,359
116,805
119,91
123,719
127,885
132,022
137,574
147,145
153,54
152,037
144,358
136,625
130,563
126,395
124,926
126,284
128,92
131,897
135,086
137,975
140,542
142,229
142,42
142,28
141,9
139,937
135,851
130,596
122,727
108,331
87,3897
67,3532
46,4826
21,894
-7,11899
-38,7788
-69,3967
-99,0686
-129,4
-160,5
-191,007
-216,623
-233,539
-237,54
-231,859
-223,382
-215,678
-206,126
-196,161
-186,854
-177,175
-165,682
-150,087
-132,878
-114,245
-94,375
-74,8315
-57,4794
-41,5567
-27,3786
-17,8413
-13,1975
-12,7059
-15,7677
-23,3907
-35,8811
-48,9903
-62,9592
-77,6223
-91,779
-102,299
-108,617
-112,158
-112,66
-109,228
-102,183
-92,2422
-79,3126
-63,0129
-43,3411
-24,7247
-5,78147
14,0193
29,8575
43,2899
52,8878
59,0822
63,2026
65,3929
66,0298
65,7382
65,1698
64,6843
64,8525
64,1166
61,7667
58,7669
55,9299
53,7651
52,6658
51,811
51,1634
48,8688
44,1625
38,289
32,4267
25,7179
17,3012
7,97859
-3,50917
-16,4023
-26,9745
-34,1452
-40,9204
-47,5936
-53,0171
-56,998
-60,4391
-63,5546
-65,5424
-66,3027
-67,1522
-67,1088
-64,9848
-61,0022
-55,7872
-48,669
-40,5547
-32,1497
-24,9539
-19,542
-15,2908
-12,4819
-10,5006
-8,82962
-6,86408
-5,65509
-5,2936
-5,91214
-7,92583
-11,0839
-15,238
-20,0664
-25,4562
-29,984
-32,9453
-35,4529
-37,867
-40,2409
-42,7853
-45,4863
-48,3481
-51,6064
-54,7948
-56,1836
-55,9703
-55,4237
-54,8515
-53,6795
-51,8947
-49,4178
-45,8987
-40,508
-32,8883
-23,8817
-14,8643
-6,1337
1,46189
6,81129
9,38648
9,56266
9,47192
9,22802
8,27819
6,81706
5,38677
4,46263
3,12975
1,78647
0,329751
-1,01044
-2,12816
-3,12599
-3,1785
-2,36504
-0,381767
1,70456
3,88346
5,03394
5,75632
5,73742
5,63225
5,31662
5,24439
5,32963
5,33036
4,96299
4,13869
2,81326
0,681543
-2,28101
-5,41095
-8,86587
-12,6886
-16,7259
-21,2465
-25,3903
-29,4053
-33,2298
-35,5588
-35,4073
-33,9353
-31,3345
-28,3667
-25,7034
-22,8386
-19,7662
-16,4525
-12,9382
-9,884
-8,07297
-7,03354
-6,14925
-4,11643
-2,4202
-1,45166
-0,915816
-0,416096
0,43729
1,50142
2,38939
3,02665
3,338
3,14419
2,56991
1,28203
-0,431089
-2,26333
-4,17543
-6,1266
-8,15171
-10,3793
-12,6756
-14,6572
-15,8907
-16,9278
-17,5164
-17,4835
-16,6358
-15,323
-13,0537
-9,85575
-5,58675
-0,395971
6,10746
13,2713
20,2559
25,5865
30,1431
34,7595
40,3139
46,6741
52,2308
58,0611
63,7388
66,7846
68,5554
68,5891
67,0716
63,9816
60,0956
56,3551
53,4195
51,1697
48,6626
45,055
39,5518
32,835
25,5437
17,1145
7,56266
-0,441946
-5,58884
-10,0443
-12,8876
